"2022/04/28","16:03:40",583.08,600
834,140,140,
835,122,122,
836,128,128,
837,118,118,
838,114,114,
839,147,147,
840,128,128,
841,126,126,
842,141,141,
843,139,139,
844,133,133,
845,129,129,
846,122,122,
847,137,137,
848,137,137,
849,136,136,
850,125,125,
851,119,119,
852,123,123,
853,114,114,
854,121,121,
855,132,132,
856,124,124,
857,123,123,
858,133,133,
859,145,145,
860,139,139,
861,137,137,
862,133,133,
863,131,131,
864,108,108,
865,136,136,
866,132,132,
867,126,126,
868,128,128,
869,125,125,
870,101,101,
871,102,102,
872,119,119,
873,137,137,
874,140,140,
875,122,122,
876,135,135,
877,125,125,
878,120,120,
879,125,125,
880,136,136,
881,121,121,
882,131,131,
883,135,135,
884,127,127,
885,117,117,
886,130,130,
887,120,120,
888,125,125,
889,123,123,
890,131,131,
891,134,134,
892,144,144,
893,131,131,
894,127,127,
895,135,135,
896,148,148,
897,118,118,
898,162,162,
899,128,128,
900,118,118,
901,131,131,
902,129,129,
903,136,136,
904,137,137,
905,150,150,
906,132,132,
907,155,155,
908,145,145,
909,136,136,
910,129,129,
911,147,147,
912,147,147,
913,152,152,
914,133,133,
915,132,132,
916,123,123,
917,134,134,
918,111,111,
919,149,149,
920,119,119,
921,133,133,
922,144,144,
923,132,132,
924,152,152,
925,126,126,
926,132,132,
927,142,142,
928,128,128,
929,130,130,
930,125,125,
931,131,131,
932,134,134,
933,120,120,
934,138,138,
935,132,132,
936,139,139,
937,140,140,
938,146,146,
939,131,131,
940,129,129,
941,128,128,
942,157,157,
943,145,145,
944,151,151,
945,133,133,
946,136,136,
947,173,173,
948,148,148,
949,138,138,
950,148,148,
951,114,114,
952,127,127,
953,152,152,
954,141,141,
955,140,140,
956,134,134,
957,147,147,
958,134,134,
959,163,163,
960,134,134,
961,150,150,
962,131,131,
963,145,145,
964,128,128,
965,144,144,
966,136,136,
967,158,158,
968,139,139,
969,144,144,
970,157,157,
971,152,152,
972,157,157,
973,163,163,
974,147,147,
975,148,148,
976,130,130,
977,152,152,
978,140,140,
979,134,134,
980,137,137,
981,147,147,
982,137,137,
983,142,142,
984,164,164,
985,159,159,
986,140,140,
987,148,148,
988,176,176,
989,157,157,
990,130,130,
991,153,153,
992,150,150,
993,149,149,
994,169,169,
995,175,175,
996,149,149,
997,162,162,
998,127,127,
999,149,149,
1000,143,143,
1001,137,137,
1002,149,149,
1003,148,148,
1004,143,143,
1005,140,140,
1006,167,167,
1007,179,179,
1008,148,148,
1009,134,134,
1010,163,163,
1011,156,156,
1012,148,148,
1013,160,160,
1014,150,150,
1015,167,167,
1016,190,190,
1017,136,136,
1018,158,158,
1019,152,152,
1020,136,136,
1021,162,162,
1022,170,170,
1023,138,138,
1024,168,168,
1025,147,147,
1026,171,171,
1027,148,148,
1028,176,176,
1029,151,151,
1030,173,173,
1031,165,165,
1032,155,155,
1033,166,166,
1034,162,162,
1035,166,166,
1036,172,172,
1037,175,175,
1038,168,168,
1039,185,185,
1040,150,150,
1041,154,154,
1042,155,155,
1043,165,165,
1044,160,160,
1045,134,134,
1046,161,161,
1047,189,189,
1048,148,148,
1049,148,148,
1050,184,184,
1051,180,180,
1052,158,158,
1053,194,194,
1054,170,170,
1055,182,182,
1056,168,168,
1057,168,168,
1058,196,196,
1059,177,177,
1060,182,182,
1061,190,190,
1062,166,166,
1063,182,182,
1064,169,169,
1065,172,172,
1066,183,183,
1067,176,176,
1068,165,165,
1069,169,169,
1070,182,182,
1071,191,191,
1072,180,180,
1073,170,170,
1074,189,189,
1075,162,162,
1076,200,200,
1077,187,187,
1078,181,181,
1079,193,193,
1080,173,173,
1081,195,195,
1082,192,192,
1083,194,194,
1084,186,186,
1085,202,202,
1086,190,190,
1087,179,179,
1088,194,194,
1089,195,195,
1090,200,200,
1091,204,204,
1092,214,214,
1093,212,212,
1094,217,217,
1095,188,188,
1096,207,207,
1097,214,214,
1098,195,195,
1099,218,218,
1100,221,221,
1101,218,218,
1102,177,177,
1103,217,217,
1104,181,181,
1105,197,197,
1106,218,218,
1107,197,197,
1108,207,207,
1109,196,196,
1110,174,174,
1111,216,216,
1112,212,212,
1113,186,186,
1114,234,234,
1115,200,200,
1116,195,195,
1117,199,199,
1118,220,220,
1119,203,203,
1120,215,215,
1121,184,184,
1122,199,199,
1123,208,208,
1124,227,227,
1125,199,199,
1126,224,224,
1127,224,224,
1128,213,213,
1129,184,184,
1130,217,217,
1131,201,201,
1132,219,219,
1133,180,180,
1134,215,215,
1135,203,203,
1136,218,218,
1137,194,194,
1138,182,182,
1139,188,188,
1140,192,192,
1141,207,207,
1142,212,212,
1143,177,177,
1144,186,186,
1145,193,193,
1146,161,161,
1147,179,179,
1148,142,142,
1149,177,177,
1150,173,173,
1151,164,164,
1152,182,182,
1153,155,155,
1154,187,187,
1155,162,162,
1156,165,165,
1157,137,137,
1158,157,157,
1159,157,157,
1160,146,146,
1161,158,158,
1162,173,173,
1163,152,152,
1164,156,156,
1165,131,131,
1166,149,149,
1167,143,143,
1168,139,139,
1169,155,155,
1170,171,171,
1171,145,145,
1172,137,137,
1173,164,164,
1174,151,151,
1175,141,141,
1176,138,138,
1177,121,121,
1178,147,147,
1179,152,152,
1180,133,133,
1181,145,145,
1182,161,161,
1183,173,173,
1184,155,155,
1185,132,132,
1186,159,159,
1187,152,152,
1188,150,150,
1189,139,139,
1190,144,144,
1191,168,168,
1192,154,154,
1193,135,135,
1194,149,149,
1195,146,146,
1196,138,138,
1197,164,164,
1198,137,137,
1199,148,148,
1200,159,159,
1201,143,143,
1202,145,145,
1203,137,137,
1204,139,139,
1205,159,159,
1206,150,150,
1207,132,132,
1208,139,139,
1209,143,143,
1210,153,153,
1211,144,144,
1212,138,138,
1213,127,127,
1214,144,144,
1215,146,146,
1216,110,110,
1217,141,141,
1218,156,156,
1219,146,146,
1220,149,149,
1221,126,126,
1222,133,133,
1223,150,150,
1224,119,119,
1225,140,140,
1226,153,153,
1227,131,131,
1228,122,122,
1229,151,151,
1230,137,137,
1231,153,153,
1232,136,136,
1233,160,160,
1234,134,134,
1235,126,126,
1236,139,139,
1237,129,129,
1238,140,140,
1239,139,139,
1240,139,139,
1241,137,137,
1242,130,130,
1243,140,140,
1244,138,138,
