"2022/04/28","14:39:58",515.64,595.76
747,704,704,
748,748,748,
749,772,772,
750,701,701,
751,773,773,
752,741,741,
753,724,724,
754,731,731,
755,736,736,
756,797,797,
757,698,698,
758,752,752,
759,714,714,
760,742,742,
761,757,757,
762,731,731,
763,730,730,
764,758,758,
765,736,736,
766,687,687,
767,735,735,
768,792,792,
769,766,766,
770,726,726,
771,764,764,
772,758,758,
773,750,750,
774,791,791,
775,794,794,
776,772,772,
777,722,722,
778,747,747,
779,769,769,
780,712,712,
781,744,744,
782,744,744,
783,778,778,
784,713,713,
785,806,806,
786,740,740,
787,707,707,
788,742,742,
789,814,814,
790,788,788,
791,768,768,
792,793,793,
793,762,762,
794,751,751,
795,725,725,
796,764,764,
797,718,718,
798,738,738,
799,731,731,
800,770,770,
801,746,746,
802,764,764,
803,726,726,
804,737,737,
805,780,780,
806,728,728,
807,785,785,
808,741,741,
809,821,821,
810,758,758,
811,737,737,
812,762,762,
813,733,733,
814,768,768,
815,789,789,
816,804,804,
817,744,744,
818,809,809,
819,715,715,
820,807,807,
821,762,762,
822,765,765,
823,745,745,
824,766,766,
825,784,784,
826,797,797,
827,750,750,
828,783,783,
829,789,789,
830,765,765,
831,803,803,
832,819,819,
833,766,766,
834,770,770,
835,748,748,
836,754,754,
837,747,747,
838,745,745,
839,760,760,
840,790,790,
841,765,765,
842,729,729,
843,742,742,
844,763,763,
845,855,855,
846,801,801,
847,799,799,
848,752,752,
849,732,732,
850,792,792,
851,793,793,
852,796,796,
853,747,747,
854,833,833,
855,814,814,
856,809,809,
857,831,831,
858,774,774,
859,754,754,
860,808,808,
861,766,766,
862,794,794,
863,810,810,
864,803,803,
865,760,760,
866,791,791,
867,793,793,
868,806,806,
869,803,803,
870,814,814,
871,759,759,
872,794,794,
873,782,782,
874,809,809,
875,796,796,
876,838,838,
877,785,785,
878,798,798,
879,767,767,
880,775,775,
881,831,831,
882,840,840,
883,778,778,
884,747,747,
885,839,839,
886,816,816,
887,803,803,
888,772,772,
889,855,855,
890,811,811,
891,849,849,
892,829,829,
893,824,824,
894,831,831,
895,870,870,
896,781,781,
897,791,791,
898,793,793,
899,799,799,
900,838,838,
901,778,778,
902,780,780,
903,841,841,
904,823,823,
905,813,813,
906,823,823,
907,812,812,
908,850,850,
909,810,810,
910,848,848,
911,812,812,
912,877,877,
913,834,834,
914,808,808,
915,824,824,
916,832,832,
917,818,818,
918,799,799,
919,838,838,
920,809,809,
921,773,773,
922,823,823,
923,828,828,
924,870,870,
925,858,858,
926,847,847,
927,886,886,
928,842,842,
929,818,818,
930,840,840,
931,835,835,
932,901,901,
933,871,871,
934,832,832,
935,882,882,
936,844,844,
937,830,830,
938,837,837,
939,827,827,
940,848,848,
941,940,940,
942,871,871,
943,834,834,
944,915,915,
945,812,812,
946,889,889,
947,839,839,
948,918,918,
949,895,895,
950,895,895,
951,871,871,
952,910,910,
953,930,930,
954,916,916,
955,846,846,
956,857,857,
957,861,861,
958,885,885,
959,843,843,
960,974,974,
961,906,906,
962,900,900,
963,909,909,
964,844,844,
965,936,936,
966,910,910,
967,899,899,
