"2022/04/28","14:22:15",229.24,600
618,4805,4805,
619,4815,4815,
620,4709,4709,
621,4847,4847,
622,4730,4730,
623,4629,4629,
624,4583,4583,
625,4566,4566,
626,4466,4466,
627,4466,4466,
628,4509,4509,
629,4329,4329,
630,4260,4260,
631,4196,4196,
632,4292,4292,
633,4090,4090,
634,4042,4042,
635,4027,4027,
636,4049,4049,
637,3843,3843,
638,3896,3896,
639,3907,3907,
640,3822,3822,
641,3796,3796,
642,3617,3617,
643,3678,3678,
644,3490,3490,
645,3618,3618,
646,3332,3332,
647,3389,3389,
648,3343,3343,
649,3345,3345,
650,3221,3221,
651,3210,3210,
652,3169,3169,
653,3116,3116,
654,3107,3107,
655,3077,3077,
656,2977,2977,
657,2983,2983,
658,2870,2870,
659,2994,2994,
660,2788,2788,
661,2865,2865,
662,2758,2758,
663,2656,2656,
664,2694,2694,
665,2581,2581,
666,2648,2648,
667,2689,2689,
668,2524,2524,
669,2651,2651,
670,2629,2629,
671,2519,2519,
672,2461,2461,
673,2436,2436,
674,2454,2454,
675,2363,2363,
676,2413,2413,
677,2495,2495,
678,2392,2392,
679,2356,2356,
680,2330,2330,
681,2384,2384,
682,2352,2352,
683,2245,2245,
684,2288,2288,
685,2245,2245,
686,2214,2214,
687,2274,2274,
688,2266,2266,
689,2220,2220,
690,2236,2236,
691,2208,2208,
692,2185,2185,
693,2091,2091,
694,2255,2255,
695,2107,2107,
696,2215,2215,
697,2168,2168,
698,2137,2137,
699,2123,2123,
700,2111,2111,
701,2087,2087,
702,2018,2018,
703,2137,2137,
704,1989,1989,
705,2057,2057,
706,2024,2024,
707,1990,1990,
708,1920,1920,
709,1966,1966,
710,2106,2106,
711,1921,1921,
712,2004,2004,
713,1935,1935,
714,1968,1968,
715,1966,1966,
716,1993,1993,
717,1935,1935,
718,1984,1984,
719,1994,1994,
720,2003,2003,
721,1990,1990,
722,1898,1898,
723,1886,1886,
724,1901,1901,
725,1962,1962,
726,1987,1987,
727,1874,1874,
728,2046,2046,
729,1860,1860,
730,1916,1916,
731,1811,1811,
732,1968,1968,
733,1918,1918,
734,1873,1873,
735,1933,1933,
736,1846,1846,
737,1855,1855,
738,1796,1796,
739,1814,1814,
740,1863,1863,
741,1862,1862,
742,1784,1784,
