"2022/04/28","13:49:13",593.6,600
785,13,13,
786,16,16,
787,17,17,
788,13,13,
789,11,11,
790,21,21,
791,19,19,
792,17,17,
793,11,11,
794,19,19,
795,18,18,
796,18,18,
797,20,20,
798,10,10,
799,12,12,
800,9,9,
801,18,18,
802,16,16,
803,18,18,
804,16,16,
805,16,16,
806,21,21,
807,7,7,
808,12,12,
809,7,7,
810,13,13,
811,16,16,
812,9,9,
813,15,15,
814,12,12,
815,11,11,
816,7,7,
817,13,13,
818,10,10,
819,9,9,
820,15,15,
821,12,12,
822,9,9,
823,17,17,
824,12,12,
825,14,14,
826,12,12,
827,20,20,
828,18,18,
829,18,18,
830,14,14,
831,19,19,
832,11,11,
833,8,8,
834,15,15,
835,8,8,
836,14,14,
837,12,12,
838,14,14,
839,11,11,
840,13,13,
841,8,8,
842,11,11,
843,12,12,
844,10,10,
845,13,13,
846,17,17,
847,18,18,
848,13,13,
849,8,8,
850,14,14,
851,17,17,
852,20,20,
853,12,12,
854,18,18,
855,11,11,
856,10,10,
857,11,11,
858,18,18,
859,19,19,
860,16,16,
861,16,16,
862,11,11,
863,19,19,
864,15,15,
865,12,12,
866,9,9,
867,11,11,
868,10,10,
869,13,13,
870,7,7,
871,19,19,
872,14,14,
873,15,15,
874,13,13,
875,10,10,
876,13,13,
877,18,18,
878,10,10,
879,14,14,
880,12,12,
881,12,12,
882,8,8,
883,10,10,
884,17,17,
885,10,10,
886,14,14,
887,13,13,
888,9,9,
889,8,8,
890,10,10,
891,9,9,
892,12,12,
893,11,11,
894,16,16,
895,13,13,
896,14,14,
897,18,18,
898,16,16,
899,7,7,
900,7,7,
901,12,12,
902,10,10,
903,9,9,
904,12,12,
905,14,14,
906,10,10,
907,13,13,
908,7,7,
909,18,18,
910,22,22,
911,21,21,
912,11,11,
913,12,12,
914,12,12,
915,18,18,
916,14,14,
917,13,13,
918,16,16,
919,9,9,
920,18,18,
921,8,8,
922,19,19,
923,10,10,
924,8,8,
925,12,12,
926,8,8,
927,11,11,
928,6,6,
929,13,13,
930,15,15,
931,13,13,
932,16,16,
933,9,9,
934,7,7,
935,9,9,
936,9,9,
937,8,8,
938,13,13,
939,8,8,
940,15,15,
941,7,7,
942,25,25,
943,21,21,
944,15,15,
945,8,8,
946,9,9,
947,10,10,
948,8,8,
949,13,13,
950,13,13,
951,11,11,
952,12,12,
953,6,6,
954,16,16,
955,10,10,
956,14,14,
957,18,18,
958,9,9,
959,12,12,
960,11,11,
961,15,15,
962,16,16,
963,8,8,
964,13,13,
965,5,5,
966,17,17,
967,10,10,
968,9,9,
969,9,9,
970,17,17,
971,10,10,
972,8,8,
973,7,7,
974,8,8,
975,10,10,
976,14,14,
977,8,8,
978,11,11,
979,13,13,
980,13,13,
981,11,11,
982,10,10,
983,11,11,
984,8,8,
985,17,17,
986,7,7,
987,12,12,
988,14,14,
989,8,8,
990,7,7,
991,9,9,
992,10,10,
993,8,8,
994,7,7,
995,6,6,
996,12,12,
997,13,13,
998,16,16,
999,8,8,
1000,11,11,
1001,7,7,
1002,14,14,
1003,12,12,
1004,14,14,
1005,13,13,
1006,6,6,
1007,11,11,
1008,10,10,
1009,9,9,
1010,12,12,
1011,5,5,
1012,6,6,
1013,8,8,
1014,7,7,
1015,13,13,
1016,9,9,
1017,12,12,
1018,14,14,
1019,12,12,
1020,21,21,
1021,12,12,
1022,11,11,
1023,9,9,
1024,13,13,
1025,12,12,
1026,8,8,
1027,9,9,
1028,10,10,
1029,9,9,
1030,15,15,
1031,16,16,
1032,10,10,
1033,11,11,
1034,10,10,
1035,7,7,
1036,9,9,
1037,14,14,
1038,13,13,
1039,8,8,
1040,6,6,
1041,15,15,
1042,9,9,
1043,8,8,
1044,10,10,
1045,9,9,
1046,13,13,
1047,9,9,
1048,8,8,
1049,10,10,
1050,6,6,
1051,14,14,
1052,8,8,
1053,9,9,
1054,10,10,
1055,13,13,
1056,12,12,
1057,6,6,
1058,7,7,
1059,6,6,
1060,9,9,
1061,8,8,
1062,9,9,
1063,11,11,
1064,8,8,
1065,10,10,
1066,14,14,
1067,9,9,
1068,12,12,
1069,6,6,
1070,7,7,
1071,10,10,
1072,12,12,
1073,13,13,
1074,18,18,
1075,5,5,
1076,14,14,
1077,12,12,
1078,12,12,
1079,17,17,
1080,36,36,
1081,33,33,
1082,22,22,
1083,9,9,
1084,5,5,
1085,16,16,
1086,9,9,
1087,5,5,
1088,11,11,
1089,9,9,
1090,12,12,
1091,6,6,
1092,6,6,
1093,7,7,
1094,10,10,
1095,14,14,
1096,12,12,
1097,4,4,
1098,7,7,
1099,10,10,
1100,4,4,
1101,15,15,
1102,9,9,
1103,15,15,
1104,8,8,
1105,8,8,
1106,7,7,
1107,10,10,
1108,8,8,
1109,11,11,
1110,14,14,
1111,7,7,
1112,9,9,
1113,7,7,
1114,14,14,
1115,4,4,
1116,7,7,
1117,11,11,
1118,10,10,
1119,6,6,
1120,6,6,
1121,4,4,
1122,9,9,
1123,8,8,
1124,11,11,
1125,20,20,
1126,11,11,
1127,21,21,
1128,14,14,
1129,18,18,
1130,13,13,
1131,11,11,
1132,9,9,
1133,8,8,
1134,10,10,
1135,13,13,
1136,11,11,
1137,4,4,
1138,8,8,
1139,9,9,
1140,8,8,
1141,8,8,
1142,8,8,
1143,12,12,
1144,9,9,
1145,8,8,
1146,13,13,
1147,16,16,
1148,17,17,
1149,20,20,
1150,16,16,
1151,19,19,
1152,10,10,
1153,4,4,
1154,6,6,
1155,6,6,
1156,5,5,
1157,10,10,
1158,9,9,
1159,9,9,
1160,11,11,
1161,7,7,
1162,9,9,
1163,6,6,
1164,6,6,
1165,9,9,
1166,7,7,
1167,4,4,
1168,7,7,
1169,4,4,
1170,12,12,
1171,5,5,
1172,6,6,
1173,10,10,
1174,10,10,
1175,9,9,
1176,7,7,
1177,5,5,
1178,5,5,
1179,10,10,
1180,6,6,
1181,5,5,
1182,16,16,
1183,13,13,
1184,6,6,
1185,13,13,
1186,5,5,
1187,18,18,
1188,11,11,
1189,8,8,
1190,8,8,
1191,11,11,
1192,7,7,
1193,5,5,
